Requête,Niveau
SELECT * FROM public.event WHERE id = $1,3
SELECT * FROM public.event ORDER BY created_at DESC,3
SELECT * FROM public.event WHERE id = $1,3
SELECT * FROM public.event WHERE id = $1,3
SELECT * FROM public.event ORDER BY created_at DESC,3
"INSERT INTO public.event (title, content, place, duration, start_time, begin_at, created_at, updated_at, user_id) VALUES ($1, $2, $3, $4, $5, $6, $7, $8, $9) RETURNING *;",3
SELECT * FROM public.event ORDER BY created_at DESC,3
"SELECT title, content, place, duration, public.event.created_at, public.event.updated_at, public.user_event.user_id, begin_at, start_time, event_id as id FROM public.event JOIN public.user_event ON public.event.id = public.user_event.event_id WHERE public.user_event.user_id = $1",3
SELECT * FROM public.event ORDER BY created_at DESC,3
DELETE FROM public.event WHERE id = $1,3
"SELECT title, content, place, duration, public.event.created_at, public.event.updated_at, public.user_event.user_id, begin_at, start_time, event_id as id FROM public.event JOIN public.user_event ON public.event.id = public.user_event.event_id WHERE public.user_event.user_id = $1",3
SELECT * FROM public.event ORDER BY created_at DESC,3
SELECT * FROM public.event ORDER BY created_at DESC,3
SELECT * FROM public.event WHERE id = $1,3
SELECT * FROM public.event ORDER BY created_at DESC,3
SELECT * FROM public.event WHERE id = $1,3
SELECT * FROM public.event ORDER BY created_at DESC,3
SELECT * FROM public.event ORDER BY created_at DESC,3
SELECT * FROM public.event WHERE id = $1,3
SELECT * FROM public.event ORDER BY created_at DESC,3
"SELECT title, content, place, duration, public.event.created_at, public.event.updated_at, public.user_event.user_id, begin_at, start_time, event_id as id FROM public.event JOIN public.user_event ON public.event.id = public.user_event.event_id WHERE public.user_event.user_id = $1",3
