Input,Requête,Niveau
[28],SELECT * FROM public.notification WHERE user_id = 28 ORDER BY created_at DESC,3
[28],SELECT * FROM public.notification WHERE user_id = 28 ORDER BY created_at DESC,3
[28],SELECT * FROM public.notification WHERE user_id = 28 ORDER BY created_at DESC,3
[28],SELECT * FROM public.notification WHERE user_id = 28 ORDER BY created_at DESC,3
[28],SELECT * FROM public.notification WHERE user_id = 28 ORDER BY created_at DESC,3
[28],SELECT * FROM public.notification WHERE user_id = 28 ORDER BY created_at DESC,3
[28],SELECT * FROM public.notification WHERE user_id = 28 ORDER BY created_at DESC,3
[28],SELECT * FROM public.notification WHERE user_id = 28 ORDER BY created_at DESC,3
[28],SELECT * FROM public.notification WHERE user_id = 28 ORDER BY created_at DESC,3
[28],SELECT * FROM public.notification WHERE user_id = 28 ORDER BY created_at DESC,3
[28],SELECT * FROM public.notification WHERE user_id = 28 ORDER BY created_at DESC,3
[28],SELECT * FROM public.notification WHERE user_id = 28 ORDER BY created_at DESC,3
[28],SELECT * FROM public.notification WHERE user_id = 28 ORDER BY created_at DESC,3
[28],SELECT * FROM public.notification WHERE user_id = 28 ORDER BY created_at DESC,3
[28],SELECT * FROM public.notification WHERE user_id = 28 ORDER BY created_at DESC,3
[28],SELECT * FROM public.notification WHERE user_id = 28 ORDER BY created_at DESC,3
[28],SELECT * FROM public.notification WHERE user_id = 28 ORDER BY created_at DESC,3
[28],SELECT * FROM public.notification WHERE user_id = 28 ORDER BY created_at DESC,3
[28],SELECT * FROM public.notification WHERE user_id = 28 ORDER BY created_at DESC,3
[],SELECT * FROM public.notification WHERE channel LIKE 'public',3
[28],SELECT * FROM public.notification WHERE user_id = 28 ORDER BY created_at DESC,3
[],SELECT * FROM public.notification WHERE channel LIKE 'public',3
"[""<img src=x onerror=alert(1)//>"",""events"",""http://localhost:3000/public"",1649321885731,1649321885731,55]","INSERT INTO public.notification (message, url, channel, created_at, updated_at, user_id) VALUES ('<img src=x onerror=alert(1)//>', 'events', 'http://localhost:3000/public', 1649321885731, 1649321885731, 55) RETURNING *;",3
"[""<img src=x onerror=alert(1)//>"",""events"",""http://localhost:3000/public"",1649321885759,1649321885759,30]","INSERT INTO public.notification (message, url, channel, created_at, updated_at, user_id) VALUES ('<img src=x onerror=alert(1)//>', 'events', 'http://localhost:3000/public', 1649321885759, 1649321885759, 30) RETURNING *;",3
